feature,correlation_with_esi,absolute_correlation
cc_headache-recurrentorknowndxmigraines,0.0040451332355702285,0.0040451332355702285
cc_post-opproblem,-0.004021825407880875,0.004021825407880875
cc_seizures,-0.003991948960239375,0.003991948960239375
cc_urinaryretention,-0.0037375486567111133,0.0037375486567111133
cc_trauma,-0.003459573158749134,0.003459573158749134
cc_bodyfluidexposure,-0.003179724162562962,0.003179724162562962
cc_headache,0.0029153278506722714,0.0029153278506722714
cc_fever,0.002857835635414074,0.002857835635414074
cc_vaginalbleeding,-0.0027947812180472414,0.0027947812180472414
cc_anxiety,-0.002579125874962789,0.002579125874962789
cc_bleeding/bruising,0.0022734739666868432,0.0022734739666868432
cc_breathingproblem,-0.002100492690134479,0.002100492690134479
cc_legswelling,0.0018651482187909561,0.0018651482187909561
cc_flankpain,0.001704700337173033,0.001704700337173033
cc_allergicreaction,-0.0016690032078588658,0.0016690032078588658
triage_vital_sbp,0.0013040218087399023,0.0013040218087399023
cc_chills,0.0011435077483582063,0.0011435077483582063
cc_cardiacarrest,,
